time,latitude,longitude,altitude,vn,ve,vd,roll,pitch,yaw
38977.265,33.606983,73.100075,503.200,-0.001,-0.001,-0.002,0.803,-0.287,-0.003
38977.272,33.606983,73.100075,503.200,-0.001,-0.003,-0.005,0.802,-0.288,-0.004
38977.278,33.606983,73.100075,503.200,-0.002,-0.005,-0.008,0.802,-0.288,-0.003
38977.285,33.606983,73.100075,503.200,-0.003,-0.007,-0.012,0.802,-0.287,-0.003
38977.292,33.606983,73.100075,503.200,-0.003,-0.009,-0.015,0.802,-0.288,-0.003
38977.299,33.606983,73.100075,503.200,-0.004,-0.011,-0.018,0.802,-0.288,-0.004
38977.305,33.606983,73.100075,503.200,-0.005,-0.013,-0.021,0.802,-0.289,-0.004
38977.312,33.606983,73.100075,503.201,-0.006,-0.015,-0.025,0.802,-0.287,-0.004
38977.319,33.606983,73.100075,503.201,-0.007,-0.017,-0.028,0.802,-0.287,-0.003
38977.326,33.606983,73.100075,503.201,-0.007,-0.019,-0.032,0.802,-0.287,-0.003
38977.332,33.606983,73.100075,503.201,-0.008,-0.021,-0.035,0.801,-0.287,-0.002
38977.339,33.606983,73.100075,503.201,-0.009,-0.023,-0.038,0.801,-0.287,-0.002
38977.346,33.606983,73.100075,503.202,-0.009,-0.025,-0.041,0.801,-0.287,-0.002
38977.353,33.606983,73.100075,503.202,-0.010,-0.027,-0.044,0.801,-0.288,-0.003
38977.360,33.606983,73.100075,503.202,-0.011,-0.029,-0.048,0.801,-0.287,-0.002
38977.366,33.606983,73.100075,503.203,-0.012,-0.031,-0.051,0.801,-0.287,-0.001
38977.373,33.606983,73.100075,503.203,-0.012,-0.033,-0.054,0.801,-0.287,-0.001
38977.380,33.606983,73.100075,503.203,-0.013,-0.035,-0.058,0.800,-0.286,-0.001
38977.387,33.606983,73.100075,503.204,-0.014,-0.037,-0.061,0.800,-0.287,-0.001
38977.393,33.606983,73.100075,503.204,-0.014,-0.039,-0.064,0.800,-0.287,-0.002
38977.401,33.606983,73.100075,503.205,-0.015,-0.041,-0.067,0.800,-0.287,-0.002
38977.407,33.606983,73.100075,503.205,-0.016,-0.043,-0.071,0.801,-0.287,-0.001
38977.414,33.606983,73.100075,503.206,-0.016,-0.045,-0.074,0.800,-0.287,-0.001
38977.421,33.606983,73.100075,503.206,-0.017,-0.047,-0.077,0.800,-0.287,-0.001
38977.428,33.606983,73.100075,503.207,-0.018,-0.049,-0.080,0.800,-0.287,-0.001
38977.435,33.606983,73.100075,503.207,-0.019,-0.051,-0.083,0.800,-0.287,-0.001
38977.441,33.606983,73.100075,503.208,-0.020,-0.053,-0.087,0.800,-0.287,-0.001
38977.448,33.606983,73.100075,503.208,-0.020,-0.055,-0.090,0.800,-0.287,-0.002
38977.455,33.606983,73.100075,503.209,-0.021,-0.057,-0.093,0.800,-0.288,-0.001
38977.462,33.606983,73.100075,503.210,-0.022,-0.059,-0.096,0.800,-0.288,-0.002
38977.469,33.606983,73.100075,503.210,-0.022,-0.061,-0.100,0.801,-0.288,-0.002
38977.475,33.606983,73.100075,503.211,-0.023,-0.063,-0.103,0.801,-0.288,-0.002
38977.482,33.606983,73.100075,503.212,-0.023,-0.064,-0.106,0.801,-0.288,-0.002
38977.489,33.606983,73.100075,503.212,-0.024,-0.066,-0.110,0.801,-0.288,-0.002
38977.496,33.606983,73.100075,503.213,-0.025,-0.068,-0.113,0.801,-0.288,-0.001
38977.503,33.606983,73.100075,503.214,-0.025,-0.070,-0.117,0.801,-0.288,-0.002
38977.509,33.606983,73.100075,503.215,-0.026,-0.072,-0.120,0.801,-0.289,-0.001
38977.516,33.606983,73.100075,503.216,-0.027,-0.074,-0.124,0.802,-0.289,0.000
38977.523,33.606983,73.100075,503.217,-0.028,-0.076,-0.126,0.803,-0.289,-0.000
38977.530,33.606983,73.100075,503.217,-0.028,-0.078,-0.130,0.803,-0.290,-0.000
38977.537,33.606983,73.100075,503.218,-0.029,-0.080,-0.133,0.802,-0.291,0.000
38977.543,33.606983,73.100075,503.219,-0.030,-0.082,-0.136,0.802,-0.290,0.000
38977.550,33.606983,73.100075,503.220,-0.030,-0.084,-0.139,0.803,-0.290,0.001
38977.557,33.606983,73.100075,503.221,-0.031,-0.086,-0.142,0.802,-0.290,0.000
38977.564,33.606983,73.100075,503.222,-0.031,-0.088,-0.145,0.802,-0.290,0.000
38977.571,33.606983,73.100075,503.223,-0.032,-0.090,-0.149,0.802,-0.290,0.001
38977.577,33.606983,73.100075,503.224,-0.032,-0.092,-0.152,0.803,-0.289,0.000
38977.584,33.606983,73.100075,503.225,-0.033,-0.094,-0.155,0.802,-0.289,0.000
38977.591,33.606983,73.100075,503.226,-0.034,-0.096,-0.159,0.803,-0.289,0.000
38977.598,33.606983,73.100075,503.227,-0.034,-0.098,-0.162,0.803,-0.289,0.001
38977.605,33.606983,73.100075,503.228,-0.035,-0.100,-0.165,0.803,-0.289,0.000
38977.611,33.606983,73.100075,503.230,-0.036,-0.102,-0.168,0.803,-0.289,-0.000
38977.618,33.606983,73.100075,503.231,-0.036,-0.104,-0.172,0.804,-0.288,0.001
38977.625,33.606983,73.100075,503.232,-0.037,-0.106,-0.175,0.804,-0.288,0.001
38977.632,33.606983,73.100075,503.233,-0.038,-0.108,-0.178,0.804,-0.289,0.001
38977.639,33.606983,73.100075,503.234,-0.039,-0.110,-0.181,0.804,-0.289,0.002
38977.645,33.606983,73.100075,503.236,-0.040,-0.112,-0.185,0.804,-0.289,0.002
38977.652,33.606983,73.100075,503.237,-0.040,-0.114,-0.188,0.804,-0.289,0.003
38977.659,33.606983,73.100075,503.238,-0.040,-0.116,-0.191,0.805,-0.290,0.003
38977.666,33.606983,73.100075,503.239,-0.041,-0.118,-0.194,0.805,-0.289,0.003
38977.673,33.606983,73.100075,503.241,-0.042,-0.120,-0.197,0.805,-0.288,0.004
38977.679,33.606983,73.100075,503.242,-0.043,-0.122,-0.201,0.805,-0.289,0.005
38977.686,33.606983,73.100075,503.243,-0.043,-0.123,-0.204,0.805,-0.289,0.005
38977.693,33.606983,73.100075,503.245,-0.044,-0.125,-0.207,0.805,-0.289,0.005
38977.700,33.606983,73.100075,503.246,-0.045,-0.127,-0.210,0.805,-0.289,0.005
38977.707,33.606983,73.100075,503.248,-0.045,-0.129,-0.213,0.805,-0.289,0.006
38977.713,33.606983,73.100075,503.249,-0.046,-0.131,-0.216,0.806,-0.289,0.006
38977.720,33.606983,73.100075,503.251,-0.047,-0.133,-0.220,0.806,-0.288,0.006
38977.727,33.606983,73.100075,503.252,-0.047,-0.135,-0.223,0.806,-0.288,0.006
38977.734,33.606983,73.100075,503.254,-0.048,-0.137,-0.226,0.807,-0.287,0.007
38977.740,33.606983,73.100075,503.255,-0.049,-0.139,-0.230,0.807,-0.287,0.007
38977.747,33.606983,73.100075,503.257,-0.050,-0.141,-0.233,0.807,-0.287,0.007
38977.754,33.606983,73.100075,503.258,-0.050,-0.143,-0.237,0.807,-0.287,0.006
38977.761,33.606983,73.100075,503.260,-0.051,-0.145,-0.240,0.807,-0.287,0.006
38977.768,33.606983,73.100075,503.262,-0.052,-0.147,-0.244,0.807,-0.288,0.006
38977.774,33.606983,73.100075,503.263,-0.053,-0.149,-0.247,0.808,-0.288,0.005
38977.781,33.606983,73.100075,503.265,-0.054,-0.151,-0.250,0.808,-0.288,0.006
38977.788,33.606983,73.100075,503.267,-0.054,-0.153,-0.254,0.808,-0.288,0.004
38977.795,33.606983,73.100075,503.268,-0.055,-0.155,-0.257,0.808,-0.288,0.004
38977.802,33.606983,73.100075,503.270,-0.056,-0.157,-0.260,0.808,-0.288,0.004
38977.808,33.606983,73.100075,503.272,-0.056,-0.159,-0.263,0.808,-0.289,0.004
38977.815,33.606983,73.100075,503.274,-0.056,-0.161,-0.266,0.808,-0.288,0.004
38977.822,33.606983,73.100075,503.276,-0.057,-0.163,-0.269,0.808,-0.288,0.004
38977.829,33.606983,73.100075,503.277,-0.058,-0.164,-0.273,0.809,-0.287,0.004
38977.836,33.606983,73.100075,503.279,-0.059,-0.166,-0.276,0.808,-0.288,0.004
38977.842,33.606983,73.100075,503.281,-0.060,-0.168,-0.280,0.809,-0.288,0.004
38977.849,33.606983,73.100075,503.283,-0.060,-0.170,-0.283,0.809,-0.288,0.005
38977.856,33.606983,73.100075,503.285,-0.061,-0.172,-0.286,0.809,-0.286,0.005
38977.863,33.606983,73.100075,503.287,-0.062,-0.174,-0.289,0.809,-0.287,0.005
38977.870,33.606983,73.100075,503.289,-0.062,-0.175,-0.292,0.809,-0.287,0.005
38977.876,33.606983,73.100075,503.291,-0.063,-0.177,-0.295,0.809,-0.288,0.005
38977.883,33.606983,73.100075,503.293,-0.064,-0.179,-0.299,0.809,-0.287,0.005
38977.890,33.606983,73.100075,503.295,-0.064,-0.181,-0.302,0.809,-0.288,0.006
38977.897,33.606983,73.100075,503.297,-0.065,-0.183,-0.306,0.810,-0.288,0.006
38977.904,33.606983,73.100075,503.299,-0.066,-0.185,-0.309,0.810,-0.289,0.006
38977.910,33.606983,73.100075,503.301,-0.067,-0.187,-0.313,0.811,-0.288,0.007
38977.917,33.606983,73.100075,503.303,-0.067,-0.189,-0.316,0.810,-0.288,0.007
38977.924,33.606983,73.100075,503.306,-0.068,-0.191,-0.319,0.810,-0.288,0.007
38977.931,33.606983,73.100075,503.308,-0.069,-0.193,-0.322,0.811,-0.287,0.007
38977.937,33.606983,73.100075,503.310,-0.070,-0.195,-0.325,0.810,-0.287,0.006
38977.944,33.606983,73.100075,503.312,-0.070,-0.197,-0.328,0.810,-0.287,0.006
38977.951,33.606983,73.100075,503.314,-0.071,-0.199,-0.331,0.809,-0.287,0.007
38977.958,33.606979,73.100075,503.317,-0.072,-0.201,-0.334,0.808,-0.287,0.006
38977.965,33.606979,73.100075,503.319,-0.072,-0.203,-0.337,0.808,-0.286,0.007
38977.971,33.606979,73.100075,503.321,-0.073,-0.205,-0.340,0.809,-0.285,0.007
38977.978,33.606979,73.100075,503.324,-0.074,-0.207,-0.343,0.808,-0.286,0.007
38977.985,33.606979,73.100075,503.326,-0.075,-0.209,-0.347,0.808,-0.286,0.007
38977.992,33.606979,73.100075,503.328,-0.076,-0.211,-0.350,0.807,-0.287,0.007
38977.999,33.606979,73.100075,503.331,-0.076,-0.213,-0.353,0.807,-0.287,0.006
38978.005,33.606979,73.100075,503.333,-0.077,-0.214,-0.357,0.807,-0.287,0.006
38978.012,33.606979,73.100075,503.336,-0.078,-0.217,-0.359,0.806,-0.287,0.005
38978.019,33.606979,73.100075,503.338,-0.078,-0.219,-0.363,0.806,-0.286,0.005
38978.026,33.606979,73.100075,503.340,-0.079,-0.220,-0.366,0.806,-0.285,0.006
38978.032,33.606979,73.100075,503.343,-0.080,-0.222,-0.369,0.806,-0.285,0.006
38978.039,33.606979,73.100075,503.345,-0.081,-0.224,-0.373,0.804,-0.285,0.006
38978.046,33.606979,73.100075,503.348,-0.082,-0.226,-0.376,0.803,-0.285,0.007
38978.053,33.606979,73.100075,503.351,-0.082,-0.228,-0.378,0.801,-0.286,0.007
38978.060,33.606979,73.100075,503.353,-0.083,-0.230,-0.381,0.799,-0.287,0.007
38978.066,33.606979,73.100075,503.356,-0.083,-0.232,-0.385,0.796,-0.289,0.006
38978.073,33.606979,73.100075,503.358,-0.084,-0.234,-0.389,0.796,-0.289,0.006
38978.080,33.606979,73.100075,503.361,-0.085,-0.236,-0.392,0.797,-0.289,0.006
38978.087,33.606979,73.100075,503.364,-0.086,-0.238,-0.396,0.798,-0.290,0.006
38978.094,33.606979,73.100075,503.366,-0.086,-0.240,-0.399,0.798,-0.290,0.006
38978.100,33.606979,73.100075,503.369,-0.087,-0.242,-0.402,0.798,-0.290,0.006
38978.107,33.606979,73.100075,503.372,-0.087,-0.244,-0.405,0.799,-0.290,0.006
38978.114,33.606979,73.100075,503.375,-0.088,-0.246,-0.408,0.800,-0.291,0.006
38978.121,33.606979,73.100075,503.377,-0.088,-0.248,-0.411,0.800,-0.291,0.006
38978.128,33.606979,73.100075,503.380,-0.089,-0.250,-0.414,0.799,-0.290,0.006
38978.135,33.606979,73.100075,503.383,-0.090,-0.252,-0.418,0.798,-0.290,0.007
38978.141,33.606979,73.100075,503.386,-0.091,-0.253,-0.422,0.798,-0.289,0.006
38978.148,33.606979,73.100075,503.389,-0.092,-0.255,-0.424,0.798,-0.289,0.006
