t_s,px,py,pz,vn,ve,vd,qw,qx,qy,qz,bgx,bgy,bgz,bax,bay,baz,P_px,P_py,P_pz,P_vn,P_ve,P_vd,P_rn,P_re,P_rd,P_bgx,P_bgy,P_bgz,P_bax,P_bay,P_baz,innov_pn,innov_pe,innov_pd,innov_vn,innov_ve,innov_vd,S_pn,S_pe,S_pd,S_vn,S_ve,S_vd,rejected
37027.662,1545875.000000,5088042.000000,3510465.250000,-41.362396,2.411025,48.492985,-0.008462,-0.102485,-0.602363,0.791570,0.004196,0.007203,-0.000582,-0.254619,-3.142126,-1.928692,0.142291,0.138445,0.138876,0.000978,0.000513,0.000631,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,0.000004,0.000003,63.330910,261.049133,59.302189,7.440258,17.008678,60.901535,6.393981,6.390057,6.390451,0.010991,0.010514,0.010632,0
37027.670,1545874.875000,5088042.000000,3510464.750000,-41.429043,2.418378,48.545937,-0.008452,-0.102352,-0.602129,0.791766,0.004196,0.007203,-0.000582,-0.254619,-3.142126,-1.928692,0.142355,0.138498,0.138936,0.000979,0.000514,0.000631,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,0.000004,0.000003,63.330910,261.049133,59.302189,7.440258,17.008678,60.901535,6.393981,6.390057,6.390451,0.010991,0.010514,0.010632,0
37027.677,1545874.875000,5088041.500000,3510464.250000,-41.487396,2.424626,48.593002,-0.008438,-0.102237,-0.601923,0.791937,0.004196,0.007203,-0.000582,-0.254619,-3.142126,-1.928692,0.142411,0.138546,0.138989,0.000981,0.000514,0.000632,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,0.000004,0.000003,63.330910,261.049133,59.302189,7.440258,17.008678,60.901535,6.393981,6.390057,6.390451,0.010991,0.010514,0.010632,0
37027.684,1545874.875000,5088041.500000,3510463.750000,-41.546989,2.431056,48.639931,-0.008430,-0.102115,-0.601719,0.792108,0.004196,0.007203,-0.000582,-0.254619,-3.142126,-1.928692,0.142468,0.138594,0.139042,0.000982,0.000515,0.000633,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,0.000004,0.000003,63.330910,261.049133,59.302189,7.440258,17.008678,60.901535,6.393981,6.390057,6.390451,0.010991,0.010514,0.010632,0
37027.691,1545874.750000,5088041.500000,3510463.250000,-41.606468,2.437591,48.687080,-0.008428,-0.102007,-0.601511,0.792281,0.004196,0.007203,-0.000582,-0.254619,-3.142126,-1.928692,0.142525,0.138642,0.139096,0.000984,0.000515,0.000633,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,0.000004,0.000003,63.330910,261.049133,59.302189,7.440258,17.008678,60.901535,6.393981,6.390057,6.390451,0.010991,0.010514,0.010632,0
37027.698,1545874.750000,5088041.500000,3510463.000000,-41.665901,2.444393,48.734238,-0.008415,-0.101888,-0.601307,0.792451,0.004196,0.007203,-0.000582,-0.254619,-3.142126,-1.928692,0.142582,0.138690,0.139150,0.000985,0.000516,0.000634,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,0.000004,0.000003,63.330910,261.049133,59.302189,7.440258,17.008678,60.901535,6.393981,6.390057,6.390451,0.010991,0.010514,0.010632,0
37027.705,1545874.625000,5088041.500000,3510462.500000,-41.724724,2.450639,48.780918,-0.008410,-0.101767,-0.601105,0.792620,0.004196,0.007203,-0.000582,-0.254619,-3.142126,-1.928692,0.142638,0.138737,0.139203,0.000987,0.000517,0.000635,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,0.000004,0.000003,63.330910,261.049133,59.302189,7.440258,17.008678,60.901535,6.393981,6.390057,6.390451,0.010991,0.010514,0.010632,0
37027.713,1545874.625000,5088041.000000,3510462.000000,-41.784889,2.457404,48.829105,-0.008407,-0.101649,-0.600901,0.792789,0.004196,0.007203,-0.000582,-0.254619,-3.142126,-1.928692,0.142696,0.138786,0.139258,0.000988,0.000517,0.000636,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,0.000004,0.000003,63.330910,261.049133,59.302189,7.440258,17.008678,60.901535,6.393981,6.390057,6.390451,0.010991,0.010514,0.010632,0
37027.720,1545874.500000,5088041.000000,3510461.500000,-41.843948,2.463926,48.876915,-0.008393,-0.101536,-0.600696,0.792960,0.004196,0.007203,-0.000582,-0.254619,-3.142126,-1.928692,0.142754,0.138835,0.139312,0.000990,0.000518,0.000636,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,0.000004,0.000003,63.330910,261.049133,59.302189,7.440258,17.008678,60.901535,6.393981,6.390057,6.390451,0.010991,0.010514,0.010632,0
37027.727,1545874.500000,5088041.000000,3510461.250000,-41.902374,2.470455,48.923698,-0.008381,-0.101421,-0.600490,0.793130,0.004196,0.007203,-0.000582,-0.254619,-3.142126,-1.928692,0.142810,0.138882,0.139365,0.000991,0.000518,0.000637,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,0.000004,0.000003,63.330910,261.049133,59.302189,7.440258,17.008678,60.901535,6.393981,6.390057,6.390451,0.010991,0.010514,0.010632,0
