time,latitude,longitude,altitude,vn,ve,hdop,satellites
59965.000,33.709631,73.091268,499.600,0.000,0.000,5.850,4
59966.000,33.709632,73.091267,499.700,0.000,0.000,5.850,4
59967.000,33.709634,73.091266,499.900,0.000,0.000,5.850,4
59968.000,33.709637,73.091264,500.100,0.000,0.000,5.860,4
59969.000,33.709637,73.091263,501.100,0.000,0.000,5.860,4
59970.000,33.709637,73.091265,501.900,0.000,0.000,5.860,4
59971.000,33.709635,73.091266,502.300,0.000,0.000,5.870,4
59972.000,33.709635,73.091267,501.900,0.000,0.000,5.870,4
59973.000,33.709636,73.091266,501.200,0.000,0.000,5.870,4
59974.000,33.709637,73.091265,500.500,0.000,0.000,5.870,4
59975.000,33.709640,73.091263,499.400,0.000,0.000,5.880,4
59976.000,33.709642,73.091262,498.100,0.000,0.000,5.880,4
59977.000,33.709645,73.091260,496.300,0.000,0.000,5.880,4
59978.000,33.709647,73.091258,494.800,0.000,0.000,5.890,4
59979.000,33.709648,73.091259,494.200,0.000,0.000,5.890,4
59980.000,33.709647,73.091259,493.800,0.000,0.000,5.890,4
59981.000,33.709649,73.091259,493.600,0.000,0.000,5.890,4
59982.000,33.709649,73.091260,493.300,0.000,0.000,5.900,4
59983.000,33.709650,73.091259,492.500,0.000,0.000,5.900,4
59984.000,33.709653,73.091257,491.600,0.000,0.000,5.900,4
59985.000,33.709655,73.091255,490.900,0.000,0.000,5.910,4
59986.000,33.709655,73.091254,490.500,0.000,0.000,5.910,4
59987.000,33.709656,73.091254,490.100,0.000,0.000,5.910,4
59988.000,33.709658,73.091253,489.400,0.000,0.000,5.910,4
59989.000,33.709660,73.091252,489.200,0.000,0.000,5.920,4
59990.000,33.709662,73.091250,488.600,0.000,0.000,5.920,4
59991.000,33.709664,73.091250,488.000,0.000,0.000,5.920,4
59992.000,33.709665,73.091249,487.900,0.000,0.000,5.930,4
59993.000,33.709664,73.091250,488.100,0.000,0.000,5.930,4
59994.000,33.709663,73.091250,488.300,0.000,0.000,5.930,4
59995.000,33.709663,73.091250,488.200,0.000,0.000,5.940,4
59996.000,33.709664,73.091250,488.100,0.000,0.000,5.940,4
59997.000,33.709661,73.091255,490.600,0.000,0.000,4.490,5
59998.000,33.709660,73.091256,491.300,0.000,0.000,4.490,5
59999.000,33.709659,73.091258,492.200,0.000,0.000,4.490,5
60000.000,33.709658,73.091258,492.900,0.000,0.000,4.490,5
60001.000,33.709659,73.091258,493.300,0.000,0.000,4.490,5
60002.000,33.709659,73.091257,493.400,0.000,0.000,4.490,5
60003.000,33.709658,73.091257,494.000,0.000,0.000,4.490,5
60004.000,33.709657,73.091258,494.300,0.000,0.000,4.490,5
60005.000,33.709655,73.091259,494.700,0.000,0.000,4.490,5
60006.000,33.709653,73.091261,495.200,0.000,0.000,4.490,5
60007.000,33.709652,73.091262,495.100,0.000,0.000,4.490,5
60008.000,33.709650,73.091263,495.700,0.000,0.000,4.490,5
60009.000,33.709649,73.091264,496.500,0.000,0.000,4.490,5
60010.000,33.709648,73.091265,496.900,0.000,0.000,4.490,5
60011.000,33.709647,73.091265,497.400,0.000,0.000,4.490,5
60012.000,33.709647,73.091266,497.700,0.000,0.000,4.500,5
60013.000,33.709646,73.091267,498.100,0.000,0.000,4.500,5
60014.000,33.709646,73.091267,498.100,0.000,0.000,4.500,5
60015.000,33.709646,73.091266,498.100,0.000,0.000,4.500,5
60016.000,33.709647,73.091265,497.900,0.000,0.000,4.500,5
60017.000,33.709646,73.091265,497.800,0.000,0.000,4.500,5
60018.000,33.709646,73.091266,497.600,0.000,0.000,4.500,5
60019.000,33.709647,73.091265,497.000,0.000,0.000,4.500,5
60020.000,33.709646,73.091265,497.500,0.000,0.000,4.500,5
60021.000,33.709646,73.091265,497.500,0.000,0.000,4.500,5
