time,ax,ay,az,wx,wy,wz
37027.662,0.019,-0.012,-1.053,4.547,-1.160,-1.145
37027.670,0.019,-0.015,-1.050,4.532,-1.312,-0.961
37027.677,0.019,-0.009,-1.042,4.532,-1.236,-1.022
37027.684,0.017,-0.014,-1.055,4.456,-1.358,-0.992
37027.691,0.019,-0.013,-1.052,4.502,-1.236,-0.778
37027.698,0.022,-0.015,-1.052,4.441,-1.282,-1.022
37027.705,0.017,-0.010,-1.052,4.456,-1.389,-0.961
37027.713,0.021,-0.012,-1.048,4.364,-1.328,-0.870
37027.720,0.020,-0.012,-1.042,4.471,-1.190,-0.992
37027.727,0.020,-0.015,-1.048,4.532,-1.251,-0.992
37027.734,0.022,-0.011,-1.047,4.517,-1.404,-1.038
37027.741,0.017,-0.015,-1.047,4.441,-1.267,-0.885
37027.749,0.017,-0.015,-1.050,4.486,-1.328,-0.885
37027.756,0.019,-0.010,-1.046,4.502,-1.373,-0.855
37027.763,0.019,-0.013,-1.051,4.380,-1.221,-0.855
37027.770,0.021,-0.014,-1.044,4.609,-1.404,-1.007
37027.777,0.020,-0.013,-1.051,4.425,-1.251,-0.900
37027.785,0.015,-0.017,-1.047,4.563,-1.145,-0.992
37027.792,0.016,-0.013,-1.048,4.547,-1.312,-0.977
37027.799,0.023,-0.013,-1.049,4.441,-1.328,-0.992
37027.806,0.019,-0.013,-1.050,4.395,-1.511,-0.885
37027.813,0.018,-0.010,-1.044,4.227,-1.373,-1.022
37027.820,0.023,-0.011,-1.048,4.486,-1.343,-0.870
37027.828,0.017,-0.013,-1.045,4.410,-1.526,-0.916
37027.835,0.022,-0.013,-1.038,4.715,-1.221,-0.794
37027.842,0.016,-0.013,-1.042,4.654,-1.251,-1.007
37027.849,0.017,-0.010,-1.054,4.563,-1.175,-0.900
37027.856,0.020,-0.012,-1.048,4.547,-1.190,-0.931
37027.863,0.020,-0.012,-1.052,4.670,-1.251,-1.007
37027.871,0.015,-0.014,-1.048,4.532,-1.343,-0.992
37027.878,0.019,-0.013,-1.045,4.532,-1.312,-0.855
37027.885,0.017,-0.012,-1.050,4.532,-1.190,-1.007
37027.892,0.019,-0.012,-1.045,4.563,-1.145,-0.992
37027.899,0.017,-0.014,-1.050,4.547,-1.206,-0.824
37027.907,0.019,-0.010,-1.046,4.563,-1.312,-0.885
37027.914,0.019,-0.009,-1.048,4.624,-1.312,-0.839
37027.921,0.019,-0.014,-1.057,4.654,-1.160,-0.977
37027.928,0.016,-0.017,-1.050,4.547,-1.129,-0.809
37027.935,0.017,-0.010,-1.054,4.700,-1.282,-0.885
37027.942,0.019,-0.010,-1.048,4.547,-1.236,-1.022
37027.950,0.019,-0.013,-1.044,4.654,-1.282,-0.977
37027.957,0.018,-0.012,-1.046,4.670,-1.236,-0.916
37027.964,0.019,-0.017,-1.044,4.700,-1.389,-0.992
37027.971,0.019,-0.014,-1.049,4.670,-1.236,-0.992
37027.978,0.024,-0.011,-1.051,4.486,-1.343,-0.809
37027.985,0.017,-0.010,-1.046,4.456,-1.251,-0.977
37027.993,0.020,-0.012,-1.051,4.593,-1.160,-1.114
37028.000,0.019,-0.013,-1.043,4.578,-1.129,-0.839
37028.007,0.021,-0.011,-1.054,4.685,-1.251,-0.824
37028.014,0.019,-0.014,-1.051,4.563,-1.267,-1.038
37028.021,0.018,-0.013,-1.051,4.441,-1.206,-0.900
37028.028,0.019,-0.010,-1.051,4.700,-1.419,-0.870
37028.035,0.021,-0.013,-1.043,4.563,-1.251,-0.977
37028.043,0.014,-0.010,-1.047,4.486,-1.206,-0.870
37028.050,0.020,-0.010,-1.047,4.578,-1.282,-0.961
37028.057,0.021,-0.014,-1.048,4.654,-1.297,-0.916
37028.064,0.021,-0.012,-1.047,4.746,-1.312,-0.824
37028.071,0.019,-0.011,-1.046,4.624,-1.358,-0.824
37028.079,0.016,-0.011,-1.042,4.517,-1.343,-0.855
37028.086,0.017,-0.014,-1.046,4.609,-1.221,-0.916
37028.093,0.021,-0.011,-1.044,4.624,-1.251,-0.855
37028.100,0.019,-0.012,-1.052,4.624,-1.251,-0.824
37028.108,0.017,-0.011,-1.043,4.563,-1.297,-0.992
37028.115,0.018,-0.014,-1.048,4.670,-1.267,-0.961
37028.122,0.020,-0.009,-1.051,4.502,-1.251,-0.839
37028.129,0.017,-0.013,-1.047,4.578,-1.221,-0.885
37028.136,0.022,-0.014,-1.046,4.700,-1.328,-0.992
37028.144,0.015,-0.014,-1.049,4.517,-1.373,-0.992
37028.166,0.016,-0.015,-1.047,4.670,-1.267,-0.885
37028.173,0.021,-0.017,-1.050,4.624,-1.312,-0.916
37028.180,0.020,-0.013,-1.049,4.654,-1.328,-0.916
37028.188,0.018,-0.014,-1.047,4.639,-1.389,-0.931
37028.195,0.017,-0.010,-1.047,4.685,-1.236,-1.022
37028.202,0.021,-0.014,-1.052,4.639,-1.282,-0.931
37028.209,0.021,-0.010,-1.048,4.578,-1.221,-0.809
37028.216,0.021,-0.010,-1.047,4.609,-1.221,-0.916
37028.224,0.020,-0.010,-1.049,4.532,-1.267,-0.916
37028.231,0.018,-0.017,-1.052,4.593,-1.236,-0.931
37028.238,0.019,-0.014,-1.050,4.731,-1.221,-0.961
37028.245,0.021,-0.016,-1.042,4.502,-1.206,-0.870
37028.252,0.017,-0.009,-1.052,4.654,-1.282,-0.855
37028.260,0.020,-0.015,-1.054,4.731,-1.282,-0.855
37028.282,0.018,-0.014,-1.047,4.654,-1.175,-0.946
37028.289,0.014,-0.009,-1.043,4.502,-1.236,-0.977
37028.297,0.017,-0.015,-1.044,4.563,-1.251,-0.839
37028.304,0.015,-0.012,-1.047,4.532,-1.328,-0.946
37028.311,0.019,-0.012,-1.049,4.532,-1.236,-0.900
37028.318,0.017,-0.011,-1.044,4.593,-1.236,-0.885
37028.326,0.021,-0.012,-1.051,4.715,-1.328,-0.855
37028.333,0.020,-0.013,-1.054,4.761,-1.465,-0.900
37028.340,0.017,-0.012,-1.042,4.746,-1.190,-0.855
37028.347,0.014,-0.014,-1.050,4.746,-1.145,-0.916
37028.354,0.024,-0.012,-1.048,4.578,-1.297,-0.931
37028.361,0.019,-0.008,-1.048,4.593,-1.206,-0.916
37028.369,0.023,-0.012,-1.050,4.654,-1.328,-0.870
37028.376,0.021,-0.017,-1.050,4.517,-1.221,-0.824
37028.383,0.020,-0.013,-1.048,4.593,-1.297,-0.977
37028.390,0.020,-0.011,-1.043,4.685,-1.282,-1.007
37028.398,0.022,-0.015,-1.048,4.532,-1.267,-0.839
37028.405,0.021,-0.012,-1.044,4.563,-1.206,-0.931
37028.412,0.018,-0.011,-1.043,4.532,-1.251,-1.068
37028.419,0.021,-0.014,-1.048,4.441,-1.190,-0.977
37028.426,0.021,-0.013,-1.050,4.624,-1.236,-0.992
37028.434,0.022,-0.013,-1.049,4.517,-1.221,-0.809
37028.441,0.017,-0.012,-1.047,4.532,-1.236,-0.885
37028.448,0.018,-0.012,-1.047,4.563,-1.328,-0.977
37028.455,0.021,-0.013,-1.051,4.654,-1.175,-1.114
37028.462,0.022,-0.014,-1.050,4.563,-1.221,-1.022
37028.470,0.018,-0.012,-1.047,4.532,-1.206,-0.824
37028.477,0.019,-0.014,-1.048,4.547,-1.267,-0.900
37028.484,0.017,-0.008,-1.047,4.517,-1.251,-0.855
37028.491,0.015,-0.015,-1.055,4.563,-1.206,-0.885
37028.498,0.018,-0.011,-1.044,4.547,-1.190,-1.022
37028.506,0.016,-0.016,-1.047,4.532,-1.114,-0.992
37028.513,0.018,-0.014,-1.047,4.609,-1.221,-0.916
37028.520,0.021,-0.013,-1.045,4.624,-1.221,-1.022
37028.527,0.023,-0.012,-1.044,4.731,-1.175,-1.007
37028.534,0.018,-0.011,-1.046,4.532,-1.358,-0.870
37028.542,0.020,-0.015,-1.049,4.609,-1.312,-0.961
37028.549,0.016,-0.011,-1.051,4.624,-1.175,-1.053
37028.556,0.018,-0.012,-1.041,4.547,-1.312,-1.007
37028.563,0.018,-0.015,-1.052,4.578,-1.282,-1.007
37028.570,0.023,-0.012,-1.046,4.471,-1.236,-0.870
37028.578,0.019,-0.011,-1.049,4.547,-1.221,-0.961
37028.585,0.018,-0.009,-1.045,4.578,-1.282,-0.931
37028.592,0.015,-0.014,-1.044,4.547,-1.251,-0.961
37028.599,0.017,-0.010,-1.046,4.670,-1.160,-0.870
37028.606,0.022,-0.012,-1.043,4.609,-1.175,-0.916
37028.613,0.019,-0.009,-1.051,4.593,-1.221,-1.068
37028.621,0.017,-0.012,-1.052,4.609,-1.160,-1.068
37028.628,0.014,-0.015,-1.047,4.609,-1.236,-0.900
37028.635,0.018,-0.011,-1.053,4.578,-1.221,-0.916
37028.642,0.019,-0.014,-1.053,4.517,-1.206,-0.992
37028.649,0.019,-0.011,-1.047,4.593,-1.190,-0.931
37028.657,0.018,-0.011,-1.046,4.624,-1.267,-0.900
37028.664,0.022,-0.013,-1.045,4.609,-1.373,-0.900
37028.671,0.020,-0.011,-1.051,4.624,-1.312,-0.961
37028.678,0.019,-0.016,-1.046,4.609,-1.251,-0.900
37028.685,0.020,-0.013,-1.049,4.609,-1.282,-0.931
37028.692,0.018,-0.014,-1.046,4.593,-1.312,-0.870
37028.700,0.018,-0.010,-1.054,4.486,-1.175,-0.977
37028.707,0.019,-0.012,-1.048,4.609,-1.267,-0.916
37028.714,0.019,-0.010,-1.050,4.517,-1.267,-0.824
37028.721,0.017,-0.016,-1.045,4.593,-1.175,-0.824
37028.728,0.015,-0.011,-1.047,4.517,-1.236,-0.931
37028.736,0.020,-0.012,-1.044,4.532,-1.221,-0.946
37028.743,0.022,-0.016,-1.043,4.517,-1.267,-0.961
37028.750,0.020,-0.010,-1.046,4.685,-1.328,-0.778
37028.757,0.015,-0.012,-1.046,4.563,-1.206,-0.946
37028.764,0.014,-0.013,-1.051,4.441,-1.099,-0.855
37028.772,0.016,-0.016,-1.051,4.776,-1.343,-0.977
37028.779,0.019,-0.012,-1.045,4.654,-1.267,-0.977
37028.786,0.020,-0.011,-1.052,4.578,-1.114,-1.038
37028.793,0.019,-0.012,-1.045,4.578,-1.236,-0.961
37028.800,0.017,-0.010,-1.048,4.578,-1.358,-0.916
37028.808,0.021,-0.015,-1.046,4.624,-1.251,-0.885
37028.815,0.020,-0.012,-1.037,4.624,-1.312,-0.946
37028.822,0.024,-0.014,-1.052,4.486,-1.282,-1.068
37028.829,0.016,-0.011,-1.052,4.609,-1.282,-0.794
37028.836,0.013,-0.015,-1.048,4.639,-1.251,-0.931
37028.844,0.012,-0.015,-1.049,4.609,-1.114,-0.931
37028.900,0.019,-0.017,-1.050,4.639,-1.190,-0.870
37028.907,0.020,-0.015,-1.052,4.578,-1.297,-0.732
37028.914,0.019,-0.014,-1.049,4.547,-1.373,-0.961
37028.921,0.017,-0.013,-1.043,4.517,-1.221,-0.794
37028.928,0.020,-0.011,-1.047,4.486,-1.099,-0.977
37028.936,0.018,-0.015,-1.044,4.609,-1.206,-1.038
37028.943,0.019,-0.011,-1.041,4.563,-1.175,-0.946
37028.950,0.020,-0.009,-1.045,4.731,-1.068,-0.885
37028.957,0.022,-0.011,-1.046,4.532,-1.251,-1.038
37028.964,0.021,-0.014,-1.055,4.517,-1.267,-0.931
37028.971,0.019,-0.014,-1.050,4.670,-1.358,-0.946
37028.979,0.023,-0.010,-1.044,4.670,-1.190,-0.961
37028.986,0.019,-0.016,-1.047,4.624,-1.297,-1.038
37028.993,0.018,-0.014,-1.050,4.502,-1.221,-0.946
37029.000,0.022,-0.016,-1.047,4.609,-1.312,-0.870
37029.007,0.019,-0.013,-1.045,4.609,-1.221,-0.839
37029.014,0.018,-0.014,-1.048,4.654,-1.297,-0.839
37029.022,0.021,-0.010,-1.050,4.792,-1.175,-0.961
37029.029,0.020,-0.014,-1.046,4.609,-1.175,-0.931
37029.036,0.018,-0.011,-1.047,4.517,-1.312,-0.977
37029.043,0.017,-0.015,-1.050,4.502,-1.190,-1.022
37029.050,0.020,-0.014,-1.051,4.471,-1.206,-0.839
37029.058,0.023,-0.012,-1.048,4.578,-1.404,-1.038
37029.065,0.016,-0.008,-1.042,4.563,-1.175,-0.916
37029.072,0.019,-0.012,-1.051,4.624,-1.236,-0.961
37029.079,0.018,-0.013,-1.049,4.700,-1.373,-0.900
37029.086,0.019,-0.013,-1.049,4.502,-1.206,-0.916
37029.094,0.018,-0.014,-1.044,4.609,-1.114,-1.083
37029.101,0.021,-0.014,-1.044,4.593,-1.160,-0.855
37029.108,0.022,-0.009,-1.045,4.609,-1.404,-0.839
37029.115,0.023,-0.012,-1.050,4.609,-1.190,-1.007
37029.122,0.020,-0.011,-1.051,4.532,-1.236,-0.992
37029.130,0.019,-0.012,-1.053,4.593,-1.297,-0.931
37029.137,0.024,-0.010,-1.044,4.624,-1.373,-0.870
37029.144,0.018,-0.012,-1.052,4.486,-1.267,-1.007
37029.166,0.019,-0.015,-1.052,4.578,-1.221,-0.931
37029.174,0.020,-0.012,-1.047,4.578,-1.267,-1.038
37029.181,0.019,-0.012,-1.045,4.639,-1.358,-0.961
37029.188,0.017,-0.013,-1.050,4.502,-1.251,-0.946
37029.195,0.014,-0.010,-1.049,4.532,-1.175,-1.038
37029.202,0.022,-0.016,-1.047,4.609,-1.190,-0.916
37029.210,0.018,-0.014,-1.048,4.700,-1.236,-0.839
37029.217,0.020,-0.014,-1.034,4.578,-1.328,-0.916
37029.224,0.017,-0.014,-1.049,4.624,-1.160,-0.946
37029.231,0.019,-0.011,-1.043,4.563,-1.358,-1.038
37029.239,0.018,-0.013,-1.042,4.685,-1.251,-0.946
37029.246,0.016,-0.016,-1.049,4.578,-1.297,-0.916
37029.253,0.021,-0.012,-1.051,4.517,-1.236,-0.961
37029.260,0.016,-0.012,-1.041,4.502,-1.190,-0.870
37029.283,0.022,-0.013,-1.053,4.593,-1.206,-1.053
